,age_head,age_spouse,e00200p,e00900p,e02100p,e00200s,e00900s,e02100s,e00600,e00800,e01500,e02300,s006,DSI,blind_head,blind_spouse,nu18,n1820,n21,ssi_ben,vet_ben,snap_ben,mcare_ben,mcaid_ben,e02400,tanf_ben,housing_ben,wic_ben,nu13,nu05,n24,elderly_dependents,f2441,EIC,XTOT,MARS,e01100,e01400,e03300,e03270,e20400,e32800,e19200,e18500,e03240,e17500,e18400,e00900,e00650,e00300,e00400,e01700,e19800,e20100,e03210,e03150,other_ben,e00200,e02100
130106,52,52,14243,0,0,11077,0,0,95634,0,0,0,800,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,10797,3576,0,0,8798,0,64840,25,0,0,0,0,0,0,0,25320,0
227466,32,32,55792,0,0,152971,0,0,0,0,0,0,13000,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,3,2,0,0,0,0,0,0,16840,3421,0,6750,10290,0,0,0,0,0,0,0,0,0,0,208763,0
25401,53,46,0,0,0,56881,0,0,45,0,56205,0,4400,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,2,0,0,0,0,0,0,8483,2861,0,0,5004,0,30,2,0,0,5272,1156,0,0,0,56881,0
139385,48,48,63648,0,0,17680,0,0,0,0,36297,0,800,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,41358,0,0,0,0,0,0,0,0,0,10241,0,0,112,0,20943,5513,1209,0,0,0,81328,0
47120,24,0,5531,0,0,0,0,0,0,0,0,0,158300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,5531,0
65636,64,0,0,0,0,0,0,0,0,0,0,0,13300,0,0,0,0,0,2,0,23363,2054,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,492,321,0,0,38,0,0,534,0,0,0,0,0,0,839,0,0
299662,23,0,0,17685,0,0,0,0,38,0,0,0,900,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5220,0,0,0,0,0,0,2510,17685,38,60,0,0,0,0,0,0,0,0,0
316370,53,55,298149,0,0,0,1360,0,0,0,0,0,7000,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4721,0,0,13103,4387,0,0,13829,1360,0,176,0,0,0,0,0,0,0,298149,0
454639,26,0,6464,0,0,0,0,0,0,0,0,0,11100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,142,0,0,0,0,0,3212,633,0,0,334,0,0,0,0,0,0,0,0,0,0,6464,0
399707,72,74,0,0,0,0,0,0,68,0,48762,0,3600,0,0,0,0,0,2,0,0,0,23244,0,37111,0,0,0,0,0,0,0,0,0,2,2,0,46,0,0,0,0,2404,2246,0,0,2255,0,68,3,0,48762,0,0,0,0,0,0,0
